team_name,location
Auburn,Auburn, AL
Alabama ST/Saint Francis U,Alabama
Louisville,Louisville, KY
Creighton,Omaha, NE
Michigan,Ann Arbor, MI
UC San Diego,La Jolla, CA
Texas A&M,College Station, TX
Yale,New Haven, CT
Ole Miss,Oxford, MS
San Diego St/North Carolina,San Diego, CA
Iowa St.,Ames, IA
Lipscomb,Nashville, TN
Marquette,Milwaukee, WI
New Mexico,Albuquerque, NM
Michigan St.,East Lansing, MI
Bryant,Smithfield, RI
Florida,Gainesville, FL
Norfolk St.,Norfolk, VA
UConn,Storrs, CT
Oklahoma,Norman, OK
Memphis,Memphis, TN
Colorado St.,Fort Collins, CO
Maryland,College Park, MD
Grand Canyon,Phoenix, AZ
Missouri,Columbia, MO
Drake,Des Moines, IA
Texas Tech,Lubbock, TX
UNC Wilmington,Wilmington, NC
Kansas,Lawrence, KS
Arkansas,Fayetteville, AR
St. John's,Queens, NY
Omaha,Omaha, NE
Duke,Durham, NC
America/Mount St Mary's,Emmitsburg, MD
Mississippi St.,Starkville, MS
Baylor,Waco, TX
Oregon,Eugene, OR
Liberty,Lynchburg, VA
Arizona,Tucson, AZ
Akron,Akron, OH
BYU,Provo, UT
VCU,Richmond, VA
Wisconsin,Madison, WI
Montana,Missoula, MT
Saint Mary's,California, CA
Vanderbilt,Nashville, TN
Alabama,Tuscaloosa, AL
Robert Morris,Moon Township, PA
Houston,Houston, TX
SIU Edwardsville,Edwardsville, IL
Gonzaga,Spokane, WA
Georgia,Athens, GA
Clemson,Clemson, SC
McNeese,Lake Charles, LA
Purdue,West Lafayette, IN
High Point,High Point, NC
Illinois,Urbana-Champaign, IL
Texas/Xavier,Austin, TX
Kentucky,Lexington, KY
Troy,Troy, AL
UCLA,Los Angeles, CA
Utah St.,Logan, UT
Tennessee,KNOXVILLE, TN
Wofford,Spartanburg, SC
